Gene symbol	Shprmt1 /Scrmbl	Siprmt1 /Scrmbl	ShprmtOE /Scrmbl	ShprmtOE /Shprmt1	Scrmbl	Shprmt1	Siprmt1	ShprmtOE
IL17RE	1.345	2.961	2.222	1.652	4.554	4.981	6.120	5.705
NUDT12	1.345	2.452	3.298	2.453	2.438	2.865	3.732	4.160
ZDHHC21	1.345	1.394	2.032	1.511	2.438	2.865	2.917	3.461
SYT5	1.345	1.192	1.622	1.206	2.438	2.865	2.692	3.135
ZNF473	1.345	0.678	0.992	0.738	4.562	4.989	4.002	4.551
PSPC1	1.344	0.897	0.895	0.666	5.797	6.224	5.640	5.637
ZNF316	1.344	0.881	1.019	0.758	5.225	5.652	5.042	5.251
PPP2R5A	1.344	1.525	1.342	0.998	5.399	5.826	6.008	5.823
MCOLN2	1.344	1.361	1.049	0.781	2.472	2.898	2.917	2.541
ZNF620	1.344	1.410	1.049	0.781	2.472	2.898	2.968	2.541
RMND5B	1.344	0.775	0.988	0.736	5.421	5.847	5.054	5.404
LRFN3	1.344	0.632	0.805	0.599	3.354	3.780	2.692	3.041
INCENP	1.344	0.853	0.873	0.650	5.259	5.685	5.030	5.064
RHOQ	1.343	1.619	1.280	0.953	4.608	5.034	5.304	4.965
ZNF48	1.343	0.923	0.944	0.703	4.301	4.727	4.186	4.218
ITPA	1.343	0.439	0.776	0.578	6.420	6.845	5.232	6.054
SLC35A3	1.343	3.253	2.005	1.493	2.506	2.931	4.208	3.509
C7orf43	1.343	0.945	1.841	1.371	2.506	2.931	2.425	3.386
NAMPT	1.343	3.386	2.668	1.987	4.320	4.745	6.079	5.736
PPP1R1A	1.343	1.286	0.714	0.532	4.329	4.754	4.692	3.843
KIAA0930	1.342	0.812	0.845	0.629	5.875	6.300	5.576	5.632
HNRNPH2	1.342	1.393	1.422	1.059	5.625	6.050	6.103	6.133
PLSCR1	1.342	7.288	8.309	6.191	4.912	5.337	7.778	7.967
NOL3	1.342	1.018	1.896	1.413	2.538	2.963	2.564	3.461
ARHGAP10	1.342	0.981	1.153	0.859	4.357	4.781	4.330	4.562
SLC38A7	1.342	0.830	0.938	0.699	4.366	4.790	4.097	4.275
ACAD9	1.342	0.694	1.012	0.754	5.336	5.760	4.809	5.353
USP7	1.341	0.873	1.112	0.829	7.965	8.389	7.769	8.118
SVIP	1.341	0.950	1.291	0.962	4.384	4.808	4.310	4.753
SRSF10	1.341	1.227	1.403	1.046	5.813	6.237	6.108	6.301
LOC727896	1.341	1.528	2.330	1.738	4.712	5.135	5.324	5.932
GSTP1	1.341	0.652	0.838	0.625	11.615	12.037	10.997	11.360
CHST13	1.341	0.930	1.234	0.921	2.601	3.024	2.496	2.905
PCNT	1.341	1.036	1.369	1.021	5.956	6.379	6.008	6.409
ARL4A	1.340	0.781	0.967	0.722	7.172	7.595	6.816	7.124
PIK3CD	1.340	1.220	0.792	0.591	5.559	5.981	5.846	5.223
FFAR4	1.340	0.890	1.311	0.978	4.041	4.464	3.873	4.432
SLC29A1	1.340	0.713	1.036	0.773	7.192	7.614	6.703	7.242
EPHX2	1.340	1.549	1.145	0.855	3.511	3.933	4.142	3.706
LRIG2	1.340	1.307	1.448	1.080	2.632	3.054	3.018	3.166
CSAG3	1.340	68.172	15.833	11.818	0.000	0.422	6.091	3.985
IGF2	1.340	3.458	4.894	3.653	0.000	0.422	1.790	2.291
INS-IGF2	1.340	3.458	4.894	3.653	0.000	0.422	1.790	2.291
LINC01504	1.340	2.092	3.225	2.407	0.000	0.422	1.065	1.689
APOL3	1.340	9.192	2.854	2.130	0.000	0.422	3.200	1.513
COL24A1	1.340	1.000	2.669	1.992	0.000	0.422	0.000	1.416
C2CD4C	1.340	2.365	2.483	1.854	0.000	0.422	1.242	1.312
ICAM1	1.340	4.823	2.483	1.854	0.000	0.422	2.270	1.312
CD177	1.340	2.365	2.483	1.854	0.000	0.422	1.242	1.312
SPAG8	1.340	1.000	2.483	1.854	0.000	0.422	0.000	1.312
LOC100506985	1.340	1.546	2.298	1.715	0.000	0.422	0.629	1.200
SOCS1	1.340	1.819	2.298	1.715	0.000	0.422	0.863	1.200
GCKR	1.340	4.277	2.298	1.715	0.000	0.422	2.096	1.200
ARSJ	1.340	1.273	2.298	1.715	0.000	0.422	0.348	1.200
CAMK1D	1.340	1.273	2.112	1.577	0.000	0.422	0.348	1.079
CGNL1	1.340	1.000	2.112	1.577	0.000	0.422	0.000	1.079
LOC100287072	1.340	1.273	2.112	1.577	0.000	0.422	0.348	1.079
PKD2L2	1.340	1.819	2.112	1.577	0.000	0.422	0.863	1.079
FAM71F2	1.340	3.458	2.112	1.577	0.000	0.422	1.790	1.079
LCN12	1.340	1.273	2.112	1.577	0.000	0.422	0.348	1.079
SPACA3	1.340	1.000	1.927	1.438	0.000	0.422	0.000	0.946
LOC101929660	1.340	1.000	1.927	1.438	0.000	0.422	0.000	0.946
CCL26	1.340	1.273	1.927	1.438	0.000	0.422	0.348	0.946
SPATA1	1.340	1.546	1.742	1.300	0.000	0.422	0.629	0.800
FLJ37201	1.340	1.273	1.742	1.300	0.000	0.422	0.348	0.800
CYP2C9	1.340	3.184	1.742	1.300	0.000	0.422	1.671	0.800
ZNF763	1.340	2.365	1.742	1.300	0.000	0.422	1.242	0.800
MATN3	1.340	1.000	1.742	1.300	0.000	0.422	0.000	0.800
LOC440910	1.340	1.546	1.742	1.300	0.000	0.422	0.629	0.800
BOLL	1.340	3.184	1.742	1.300	0.000	0.422	1.671	0.800
KLHL6	1.340	1.273	1.742	1.300	0.000	0.422	0.348	0.800
ASPN	1.340	1.000	1.742	1.300	0.000	0.422	0.000	0.800
SLC2A1-AS1	1.340	2.092	1.556	1.162	0.000	0.422	1.065	0.638
ETV3L	1.340	1.546	1.556	1.162	0.000	0.422	0.629	0.638
C10orf111	1.340	1.273	1.556	1.162	0.000	0.422	0.348	0.638
SERPINA5	1.340	2.092	1.556	1.162	0.000	0.422	1.065	0.638
RASD1	1.340	1.273	1.556	1.162	0.000	0.422	0.348	0.638
SNORA37	1.340	1.000	1.556	1.162	0.000	0.422	0.000	0.638
ITPR1-AS1	1.340	1.546	1.556	1.162	0.000	0.422	0.629	0.638
PRKG2	1.340	2.638	1.556	1.162	0.000	0.422	1.400	0.638
LOC102724434	1.340	1.273	1.556	1.162	0.000	0.422	0.348	0.638
LOC100132781	1.340	1.273	1.556	1.162	0.000	0.422	0.348	0.638
GAB3	1.340	1.000	1.556	1.162	0.000	0.422	0.000	0.638
H2AFB2	1.340	1.000	1.556	1.162	0.000	0.422	0.000	0.638
H2AFB1	1.340	1.000	1.556	1.162	0.000	0.422	0.000	0.638
NEXN-AS1	1.340	1.273	1.371	1.023	0.000	0.422	0.348	0.455
TH	1.340	2.365	1.371	1.023	0.000	0.422	1.242	0.455
OR7E12P	1.340	1.273	1.371	1.023	0.000	0.422	0.348	0.455
SCGB2A1	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
CARD18	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
PABPN1	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
ONECUT1	1.340	1.819	1.371	1.023	0.000	0.422	0.863	0.455
GGT6	1.340	1.546	1.371	1.023	0.000	0.422	0.629	0.455
LOC100128288	1.340	1.273	1.371	1.023	0.000	0.422	0.348	0.455
NXPH3	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
ZNF846	1.340	2.638	1.371	1.023	0.000	0.422	1.400	0.455
CEACAM16	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
LOC100130691	1.340	1.819	1.371	1.023	0.000	0.422	0.863	0.455
AQP12B	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
GNRHR	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
PCDHB3	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
HUS1B	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
TRIM40	1.340	1.273	1.371	1.023	0.000	0.422	0.348	0.455
HEPACAM2	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
SERPINE1	1.340	1.273	1.371	1.023	0.000	0.422	0.348	0.455
DEFB109P1B	1.340	1.273	1.371	1.023	0.000	0.422	0.348	0.455
IDO1	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
YTHDF3-AS1	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
DIAPH2-AS1	1.340	1.000	1.371	1.023	0.000	0.422	0.000	0.455
DLGAP3	1.340	1.546	1.185	0.885	0.000	0.422	0.629	0.245
EFCAB14-AS1	1.340	2.365	1.185	0.885	0.000	0.422	1.242	0.245
LOC388692	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
TRIM46	1.340	2.638	1.185	0.885	0.000	0.422	1.400	0.245
C1orf186	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
GPRIN2	1.340	1.819	1.185	0.885	0.000	0.422	0.863	0.245
PYROXD2	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
LOC101928008	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
MORN3	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
MEG3	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
GOLGA8R	1.340	2.911	1.185	0.885	0.000	0.422	1.542	0.245
HEXA-AS1	1.340	1.546	1.185	0.885	0.000	0.422	0.629	0.245
USP6	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
SNORD4A	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
LOC100128398	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
LINC00652	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
LINC00266-1	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
BMS1P18	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
HCLS1	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
SPATA16	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
TM4SF19	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
HAVCR2	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
LOC101927969	1.340	1.546	1.185	0.885	0.000	0.422	0.629	0.245
BTNL8	1.340	1.819	1.185	0.885	0.000	0.422	0.863	0.245
ZNF391	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
LY6G5B	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
C6orf163	1.340	1.000	1.185	0.885	0.000	0.422	0.000	0.245
SSC4D	1.340	2.365	1.185	0.885	0.000	0.422	1.242	0.245
TSGA13	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
FAM86B2	1.340	1.273	1.185	0.885	0.000	0.422	0.348	0.245
THEMIS2	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
HPCAL4	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
TRABD2B	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
L1TD1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
ANGPTL3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
HIST2H3A	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
NBPF18P	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
RHBG	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
SNORD78	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
CNTN2	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
OIT3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
HPSE2	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LINC01561	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
EDRF1-AS1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
FANK1-AS1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
CALY	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
TRIM6	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
NPAS4	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SYT12	1.340	1.546	1.000	0.746	0.000	0.422	0.629	0.000
LOC646029	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
CARD16	1.340	1.819	1.000	0.746	0.000	0.422	0.863	0.000
LOC100507283	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LOC101929549	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SLCO1B1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
ST8SIA1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
CCDC184	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
KRT4	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
DPY19L2	1.340	2.911	1.000	0.746	0.000	0.422	1.542	0.000
LOC728084	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SIAH3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
MYZAP	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
PSTPIP1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
RBFOX1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
MT1G	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
LINC00311	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
EFCAB5	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
HILS1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
CDH2	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
DSG3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
PRR36	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
CALR3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
INSL3	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
WDR87	1.340	1.546	1.000	0.746	0.000	0.422	0.629	0.000
LGALS7	1.340	1.546	1.000	0.746	0.000	0.422	0.629	0.000
GMFG	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
APOC4	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
ID2-AS1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LINC01317	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
IL36B	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LINC01087	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LOC400867	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
THRB-AS1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
TIGIT	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
C3orf36	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LOC101928105	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
RARRES1	1.340	1.546	1.000	0.746	0.000	0.422	0.629	0.000
LOC100505920	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
GABRA4	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
UGT2A3	1.340	1.546	1.000	0.746	0.000	0.422	0.629	0.000
LINC00989	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
ADH4	1.340	1.819	1.000	0.746	0.000	0.422	0.863	0.000
PRSS48	1.340	2.092	1.000	0.746	0.000	0.422	1.065	0.000
LINC01170	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SMAD5-AS1	1.340	1.546	1.000	0.746	0.000	0.422	0.629	0.000
GFRA3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
PDGFRB	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
HIST1H4A	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
HIST1H2AD	1.340	1.546	1.000	0.746	0.000	0.422	0.629	0.000
PRICKLE4	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
FILIP1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LOC100505921	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SUN3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
CDK14	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LINC01393	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
NEFM	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
PRDM14	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
ELAVL2	1.340	1.273	1.000	0.746	0.000	0.422	0.348	0.000
NXNL2	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SNORA84	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
BARHL1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SNORD36C	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LHX3	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
PFKFB1	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
SRPX2	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
LOC101927830	1.340	1.000	1.000	0.746	0.000	0.422	0.000	0.000
TMEM180	1.339	1.080	1.159	0.866	4.075	4.497	4.186	4.288
IL20RA	1.339	1.153	1.006	0.751	4.471	4.893	4.677	4.480
FMNL1	1.339	1.021	0.920	0.687	2.662	3.083	2.692	2.541
KRAS	1.339	2.974	2.093	1.564	5.473	5.893	7.045	6.539
TXLNG	1.338	1.731	1.583	1.183	5.790	6.210	6.581	6.453
TBC1D16	1.338	1.069	0.934	0.698	5.071	5.492	5.168	4.973
LOC339803	1.338	0.703	1.297	0.969	3.575	3.995	3.066	3.951
SMARCA4	1.338	0.698	0.831	0.621	8.212	8.632	7.693	7.945
DCTN1	1.338	0.773	0.823	0.615	6.380	6.800	6.008	6.098
SYF2	1.338	1.803	1.288	0.962	6.282	6.702	7.132	6.647
UGGT2	1.338	2.236	1.730	1.293	3.591	4.011	4.752	4.381
ROBO3	1.338	1.685	0.968	0.723	2.720	3.140	3.473	2.673
ARMC3	1.338	3.302	0.940	0.702	2.720	3.140	4.443	2.630
DONSON	1.337	1.008	1.298	0.970	4.554	4.973	4.565	4.930
UBR2	1.337	2.156	1.907	1.427	4.887	5.306	5.996	5.819
NAPRT	1.337	1.070	0.977	0.731	4.193	4.611	4.290	4.160
CDK5R1	1.337	0.983	0.823	0.616	2.776	3.194	2.752	2.495
AK4	1.337	1.744	1.450	1.084	4.900	5.318	5.702	5.435
OAS3	1.337	6.663	9.389	7.024	5.372	5.791	8.108	8.603
FKBP9	1.337	0.994	0.655	0.490	5.875	6.294	5.866	5.265
UHRF1BP1	1.336	0.858	1.245	0.932	4.223	4.641	4.002	4.539
DTWD1	1.336	1.142	1.336	1.000	3.681	4.099	3.873	4.099
LDLRAD3	1.336	0.525	0.772	0.578	3.681	4.099	2.752	3.307
LINC00672	1.336	2.818	5.479	4.101	0.176	0.594	1.671	2.630
IGF2BP2-AS1	1.336	5.718	3.839	2.873	0.176	0.594	2.692	2.117
NAALADL2	1.336	3.301	2.362	1.768	0.176	0.594	1.899	1.416
UGT2B15	1.336	1.610	2.198	1.645	0.176	0.594	0.863	1.312
FAR2	1.336	2.093	2.034	1.522	0.176	0.594	1.242	1.200
TM4SF20	1.336	4.510	2.034	1.522	0.176	0.594	2.349	1.200
LOC102723885	1.336	2.335	2.034	1.522	0.176	0.594	1.400	1.200
NLRC3	1.336	2.577	1.870	1.399	0.176	0.594	1.542	1.079
TTR	1.336	0.885	1.870	1.399	0.176	0.594	0.000	1.079
LOC101929529	1.336	0.885	1.870	1.399	0.176	0.594	0.000	1.079
SPDYE2	1.336	2.093	1.870	1.399	0.176	0.594	1.242	1.079
KIAA1614	1.336	1.368	1.705	1.276	0.176	0.594	0.629	0.946
CDH16	1.336	0.885	1.705	1.276	0.176	0.594	0.000	0.946
TMEM178A	1.336	2.335	1.705	1.276	0.176	0.594	1.400	0.946
CNTNAP2	1.336	1.127	1.705	1.276	0.176	0.594	0.348	0.946
LOC729930	1.336	0.885	1.541	1.154	0.176	0.594	0.000	0.800
PI4KAP1	1.336	0.885	1.541	1.154	0.176	0.594	0.000	0.800
A4GNT	1.336	0.885	1.541	1.154	0.176	0.594	0.000	0.800
LOC100132057	1.336	1.368	1.377	1.031	0.176	0.594	0.629	0.638
LOC101928053	1.336	1.610	1.377	1.031	0.176	0.594	0.863	0.638
BDNF-AS	1.336	1.127	1.377	1.031	0.176	0.594	0.348	0.638
TPTE2P1	1.336	1.127	1.377	1.031	0.176	0.594	0.348	0.638
ZNF836	1.336	1.127	1.377	1.031	0.176	0.594	0.348	0.638
ZNF845	1.336	1.127	1.377	1.031	0.176	0.594	0.348	0.638
SNORA58	1.336	0.885	1.377	1.031	0.176	0.594	0.000	0.638
SNORD50B	1.336	1.852	1.377	1.031	0.176	0.594	1.065	0.638
NKAIN1	1.336	0.885	1.213	0.908	0.176	0.594	0.000	0.455
KNDC1	1.336	3.060	1.213	0.908	0.176	0.594	1.790	0.455
THY1	1.336	0.885	1.213	0.908	0.176	0.594	0.000	0.455
BDKRB2	1.336	2.335	1.213	0.908	0.176	0.594	1.400	0.455
HIST2H4B	1.336	0.885	1.049	0.785	0.176	0.594	0.000	0.245
HIST2H4A	1.336	1.127	1.049	0.785	0.176	0.594	0.348	0.245
DCDC1	1.336	2.577	1.049	0.785	0.176	0.594	1.542	0.245
SNORA64	1.336	1.368	1.049	0.785	0.176	0.594	0.629	0.245
GUCY2D	1.336	1.127	1.049	0.785	0.176	0.594	0.348	0.245
NCOR1P1	1.336	1.852	1.049	0.785	0.176	0.594	1.065	0.245
PEX5L	1.336	1.368	1.049	0.785	0.176	0.594	0.629	0.245
FAXDC2	1.336	0.885	1.049	0.785	0.176	0.594	0.000	0.245
FEZF1	1.336	1.127	1.049	0.785	0.176	0.594	0.348	0.245
LOC102723729	1.336	0.885	1.049	0.785	0.176	0.594	0.000	0.245
CACNA1E	1.336	0.885	0.885	0.662	0.176	0.594	0.000	0.000
SLC16A12	1.336	0.885	0.885	0.662	0.176	0.594	0.000	0.000
SDS	1.336	0.885	0.885	0.662	0.176	0.594	0.000	0.000
CLEC18A	1.336	0.885	0.885	0.662	0.176	0.594	0.000	0.000
ZNF30-AS1	1.336	0.885	0.885	0.662	0.176	0.594	0.000	0.000
ZNF702P	1.336	1.127	0.885	0.662	0.176	0.594	0.348	0.000
MCC	1.336	1.852	0.885	0.662	0.176	0.594	1.065	0.000
FAM66D	1.336	1.127	0.885	0.662	0.176	0.594	0.348	0.000
SATL1	1.336	1.610	0.885	0.662	0.176	0.594	0.863	0.000
DUSP9	1.336	0.885	0.885	0.662	0.176	0.594	0.000	0.000
PRKX	1.336	0.911	1.138	0.852	5.759	6.177	5.624	5.946
NUDCD3	1.336	0.879	0.857	0.641	7.036	7.454	6.851	6.813
STK11	1.336	1.219	1.022	0.765	5.417	5.834	5.702	5.448
GFOD1	1.336	1.255	1.314	0.984	2.830	3.247	3.157	3.224
GATAD1	1.335	1.086	1.083	0.811	5.621	6.038	5.739	5.736
ACACA	1.335	0.635	0.695	0.520	5.790	6.207	5.135	5.265
GATA2-AS1	1.335	1.749	2.026	1.517	3.724	4.141	4.531	4.743
RAD52	1.335	1.458	1.829	1.370	2.856	3.273	3.400	3.727
STX4	1.335	0.868	1.157	0.866	5.820	6.237	5.616	6.030
KAT7	1.335	0.937	0.821	0.615	5.670	6.086	5.576	5.385
FAM219B	1.334	1.242	0.920	0.689	4.705	5.121	5.018	4.584
NUP88	1.334	0.905	1.044	0.782	6.127	6.543	5.983	6.189
TMEM147	1.334	0.457	0.761	0.570	7.614	8.030	6.483	7.221
ELK4	1.334	2.100	2.557	1.916	2.907	3.322	3.977	4.261
LPGAT1	1.334	2.194	1.979	1.484	4.348	4.764	5.482	5.333
DLGAP1-AS1	1.334	1.527	1.152	0.864	2.931	3.347	3.542	3.135
RHOT1	1.333	2.139	1.839	1.379	3.834	4.249	4.930	4.712
GPR161	1.333	1.009	1.300	0.975	2.956	3.371	2.968	3.334
TRIM22	1.333	8.379	8.446	6.336	0.333	0.748	3.400	3.412
SLC44A5	1.333	1.661	2.854	2.141	0.333	0.748	1.065	1.846
UCN	1.333	1.227	2.412	1.810	0.333	0.748	0.629	1.604
THSD1	1.333	0.794	2.118	1.589	0.333	0.748	0.000	1.416
AXL	1.333	0.794	1.824	1.368	0.333	0.748	0.000	1.200
LINC00883	1.333	1.444	1.824	1.368	0.333	0.748	0.863	1.200
GNB4	1.333	1.010	1.824	1.368	0.333	0.748	0.348	1.200
NAIP	1.333	2.094	1.677	1.258	0.333	0.748	1.400	1.079
FOXC2	1.333	0.794	1.382	1.037	0.333	0.748	0.000	0.800
LINC01311	1.333	0.794	1.382	1.037	0.333	0.748	0.000	0.800
ZNF596	1.333	3.394	1.382	1.037	0.333	0.748	2.096	0.800
LOC101929128	1.333	0.794	1.382	1.037	0.333	0.748	0.000	0.800
SNORA56	1.333	0.794	1.382	1.037	0.333	0.748	0.000	0.800
ASCL5	1.333	1.877	1.235	0.927	0.333	0.748	1.242	0.638
GUCY2C	1.333	1.010	1.235	0.927	0.333	0.748	0.348	0.638
LYPD3	1.333	1.444	1.235	0.927	0.333	0.748	0.863	0.638
ANKRD36BP2	1.333	1.661	1.235	0.927	0.333	0.748	1.065	0.638
ALAS2	1.333	1.661	1.235	0.927	0.333	0.748	1.065	0.638
SEMA6C	1.333	0.794	1.088	0.816	0.333	0.748	0.000	0.455
PCDHGB7	1.333	7.729	1.088	0.816	0.333	0.748	3.284	0.455
ANKRD20A1	1.333	0.794	0.941	0.706	0.333	0.748	0.000	0.245
SRGN	1.333	0.794	0.794	0.595	0.333	0.748	0.000	0.000
IL17RB	1.333	0.992	1.537	1.153	2.980	3.394	2.968	3.600
PEX14	1.333	0.822	0.749	0.562	4.402	4.817	4.120	3.985
GGCX	1.333	0.687	1.114	0.836	7.551	7.965	7.009	7.706
TYW3	1.332	0.889	1.238	0.929	5.598	6.012	5.428	5.906
TMC4	1.332	1.898	1.608	1.207	4.822	5.236	5.747	5.508
ZBTB8A	1.332	1.276	1.296	0.973	4.849	5.262	5.200	5.223
ARID3B	1.332	1.176	0.912	0.685	4.855	5.268	5.089	4.723
ARL14EP	1.332	1.308	1.079	0.811	4.463	4.876	4.851	4.573
TTLL4	1.332	1.017	0.756	0.567	4.471	4.885	4.496	4.067
MUT	1.331	1.980	1.646	1.236	4.874	5.287	5.860	5.593
TBCD	1.331	0.649	0.626	0.470	5.204	5.617	4.581	4.528
CHCHD4	1.331	0.449	0.743	0.558	6.185	6.597	5.030	5.756
PON3	1.331	0.917	1.333	1.002	3.094	3.506	2.968	3.509
FAM73A	1.331	2.187	1.974	1.484	3.983	4.396	5.112	4.965
ETHE1	1.331	1.503	1.102	0.828	6.336	6.748	6.924	6.477
ZNF235	1.331	1.309	2.987	2.245	0.475	0.887	0.863	2.054
PLXNB3	1.331	1.505	2.454	1.844	0.475	0.887	1.065	1.770
EFCAB7	1.331	2.488	2.053	1.543	0.475	0.887	1.790	1.513
ZNF41	1.331	2.488	1.920	1.443	0.475	0.887	1.790	1.416
FBXL2	1.331	0.719	1.787	1.343	0.475	0.887	0.000	1.312
LOC100130075	1.331	1.112	1.386	1.042	0.475	0.887	0.629	0.946
HTRA3	1.331	0.916	1.386	1.042	0.475	0.887	0.348	0.946
CASC2	1.331	2.488	1.253	0.942	0.475	0.887	1.790	0.800
SNORD58C	1.331	0.719	1.253	0.942	0.475	0.887	0.000	0.800
CLTCL1	1.331	1.112	1.253	0.942	0.475	0.887	0.629	0.800
